Caliber,,Description,Cost,Rounds / Box,Usage,Cost Per Round
,,,,,,
380 Auto,380 Auto - 90gn XTP - Hollow Point,90gn XTP - Hollow Point,$20.00 ,20,Home Defense,$1.00 
380 Auto,380 Auto - 95gn Full Metal Jacket - RN,95gn Full Metal Jacket - RN,$25.00 ,50,Target / Training,$0.50 
380 Auto,380 Auto - 100gn Full Metal Jacket - RN,100gn Full Metal Jacket - RN,$25.00 ,50,Target / Training,$0.50 
, - ,,,,,
, - ,,,,,
9mm ,9mm  - 100gn Full Metal Jacket - RN,100gn Full Metal Jacket - RN,$22.00 ,50,Target / Training,$0.44 
9mm ,9mm  - 115 gn Full Metal Jacket - RN,115 gn Full Metal Jacket - RN,$23.50 ,50,Target / Training,$0.47 
9mm ,9mm  - 115gn Extreme Penetrators,115gn Extreme Penetrators,$30.00 ,20,Hunting,$1.50 
9mm ,9mm  - 115gn XTP - HP,115gn XTP - HP,$23.50 ,20,Target / Training,$1.18 
9mm ,9mm  - 124gn Full Metal Jacket - RN,124gn Full Metal Jacket - RN,$23.50 ,50,Target / Training,$0.47 
9mm ,9mm  - 124gn Hybrid - HP,124gn Hybrid - HP,$23.50 ,20,Defense,$1.18 
9mm ,9mm  - 125gn Lead Cast - RN,125gn Lead Cast - RN,$35.00 ,50,Hunting / Cowboy Action,$0.70 
9mm ,9mm  - 147gn Full Metal Jacket - RN,147gn Full Metal Jacket - RN,$23.50 ,50,Target / Training,$0.47 
, - ,,,,,
, - ,,,,,
38 Special,38 Special - 110gn XTP - HP,110gn XTP - HP,$25.00 ,20,Defense / Hunting,$1.25 
38 Special,38 Special - 125gn Soft Jacket - HP,125gn Soft Jacket - HP,$22.00 ,20,Hunting / Cowboy Action,$1.10 
38 Special,38 Special - 125gn Full Metal Jacket - FP,125gn Full Metal Jacket - FP,$27.00 ,50,Target / Training,$0.54 
38 Special + P,38 Special + P - 125gn XTP - HP,125gn XTP - HP,$30.00 ,20,Hunting / Defense,$1.50 
38 Special,38 Special - 125gn XTP - HP,125gn XTP - HP,$30.00 ,20,Hunting / Defense,$1.50 
38 Special,38 Special - 158gn XTP - HP,158gn XTP - HP,$30.00 ,20,Huntion / Defense,$1.50 
38 Special,38 Special - 158gn Full Metal Jacket - FP,158gn Full Metal Jacket - FP,$27.00 ,50,Target / Training,$0.54 
, - ,,,,,
, - ,,,,,
357 Magnum,357 Magnum - 110gn XTP - HP,110gn XTP - HP,$25.00 ,20,Defense / Hunting,$1.25 
357 Magnum,357 Magnum - 125gn Soft Jacket - HP,125gn Soft Jacket - HP,$22.00 ,20,Hunting / Cowboy Action,$1.10 
357 Magnum,357 Magnum - 125gn Full Metal Jacket - FP,125gn Full Metal Jacket - FP,$27.00 ,50,Target / Training,$0.54 
357 Magnum,357 Magnum - 125gn XTP - HP,125gn XTP - HP,$30.00 ,20,Hunting / Defense,$1.50 
357 Magnum,357 Magnum - 158gn XTP - HP,158gn XTP - HP,$30.00 ,20,Huntion / Defense,$1.50 
357 Magnum,357 Magnum - 158gn Full Metal Jacket - FP,158gn Full Metal Jacket - FP,$27.00 ,50,Target / Training,$0.54 
, - ,,,,,
, - ,,,,,
40 S&W,40 S&W - 155gn - HP,155gn - HP,$27.00 ,20,Defense,$1.35 
40 S&W,40 S&W - 155gn XTP - HP,155gn XTP - HP,$27.00 ,20,Defense,$1.35 
40 S&W,40 S&W - 165gn Full Metal Jacket - FP,165gn Full Metal Jacket - FP,$30.00 ,50,Target /Training,$0.60 
40 S&W,40 S&W - 165 TCM - HP,165 TCM - HP,$25.00 ,20,Defense,$1.25 
40 S&W,40 S&W - 180gn Full Metal Jacket - FN,180gn Full Metal Jacket - FN,$30.00 ,50,Target /Training,$0.60 
, - ,,,,,
, - ,,,,,
10mm,10mm - 155gn - HP,155gn - HP,$27.00 ,20,Defense,$1.35 
10mm,10mm - 155gn XTP - HP,155gn XTP - HP,$27.00 ,20,Defense,$1.35 
10mm,10mm - 165gn Full Metal Jacket - FP,165gn Full Metal Jacket - FP,$30.00 ,50,Target /Training,$0.60 
10mm,10mm - 165 TCM - HP,165 TCM - HP,$25.00 ,20,Defense,$1.25 
10mm,10mm - 180gn Full Metal Jacket - FN,180gn Full Metal Jacket - FN,$30.00 ,50,Target /Training,$0.60 
, - ,,,,,
, - ,,,,,
44 Special,44 Special - 180 Soft Jacket - HP,180 Soft Jacket - HP,$30.00 ,20,Hunting / Defense,$1.50 
 44 Special, 44 Special - 180gn XTP - HP,180gn XTP - HP,$30.00 ,20,Hunting / Defense,$1.50 
44 Special,44 Special - 200gn XTP - HP,200gn XTP - HP,$30.00 ,20,Hunting / Defense,$1.50 
, - ,,,,,
, - ,,,,,
44 Magnum,44 Magnum - 180 Soft Jacket - HP,180 Soft Jacket - HP,$30.00 ,20,Hunting / Defense,$1.50 
 44 Magnum, 44 Magnum - 180gn XTP - HP,180gn XTP - HP,$30.00 ,20,Hunting / Defense,$1.50 
44 Magnum,44 Magnum - 200gn XTP - HP,200gn XTP - HP,$30.00 ,20,Hunting / Defense,$1.50 
, - ,,,,,
45 ACP,45 ACP - 200gn Extreme Penetrator,200gn Extreme Penetrator,$35.00 ,20,Hunting,$1.75 
45 ACP,45 ACP - 200gn FTX - HP (tipped removed),200gn FTX - HP (tipped removed),$35.00 ,20,Hunting,$1.75 
45 ACP,45 ACP - 230gn Full Metal Jacket - RN,230gn Full Metal Jacket - RN,$32.50 ,50,Target / Training,$0.65 
45 ACP,45 ACP - 230gn XTP - HP,230gn XTP - HP,$33.00 ,20,Defense,$1.65 
45 ACP,45 ACP - 230gn - HP,230gn - HP,$33.00 ,20,Defense,$1.65 
, - ,,,,,
, - ,,,,,
45 Long Colt,45 Long Colt - 200gn FTX - HP ,200gn FTX - HP ,$30.00 ,20,Hunting,$1.50 
45 Long Colt,45 Long Colt - 200gn FTX - HP  (tip removed),200gn FTX - HP  (tip removed),$30.00 ,20,Hunting,$1.50 
45 Long Colt,45 Long Colt - 250gn FTX - HP  (tip removed),250gn FTX - HP  (tip removed),$30.00 ,20,Hunting,$1.50 
45 Long Colt,45 Long Colt - 250gn FTX - HP  (tip removed),250gn FTX - HP  (tip removed),$30.00 ,20,Hunting,$1.50 
, - ,,,,,
, - ,,,,,
, - ,,,,,
, - ,,,,,
, - ,,,,,
223 Remington,223 Remington - 50gn V-Max,50gn V-Max,$25.00 ,20,Hunting,$1.25 
223 Remington,223 Remington - 50gn Soft Point,50gn Soft Point,$23.00 ,20,Hunting,$1.15 
223 Remington,223 Remington - 55gn Full Metal Jacket - BT,55gn Full Metal Jacket - BT,$13.00 ,20,Target / Training,$0.65 
223 Remington,223 Remington - 55 Boat Tail Hollow Point - (BTHP),55 Boat Tail Hollow Point - (BTHP),$15.00 ,20,Target / Training / Hunting,$0.75 
223 Remington,223 Remington - 55gn Nosler Varmegeddon - Ballistic Tip,55gn Nosler Varmegeddon - Ballistic Tip,$25.00 ,20,Hunting,$1.25 
223 Remington,223 Remington - 55gn Ballistic Silver Tip,55gn Ballistic Silver Tip,$25.00 ,20,Hunting,$1.25 
223 Remington,223 Remington - 55gn Soft Point,55gn Soft Point,$23.00 ,20,Hunting,$1.15 
223 Remington,223 Remington - 60gn Soft Point,60gn Soft Point,$23.00 ,20,Hunting,$1.15 
223 Remington,223 Remington - 60gn V-Max,60gn V-Max,$25.00 ,20,Hunting,$1.25 
223 Remington,223 Remington - 70gn Boat Tail Hollow Point Match - (BTHPM),70gn Boat Tail Hollow Point Match - (BTHPM),$25.00 ,20,Hunting,$1.25 
, - ,,,,,
, - ,,,,,
22-250,22-250 - 50gn V-Max,50gn V-Max,$35.00 ,20,Hunting,$1.75 
22-250,22-250 - 55gn Full Metal Jacket - BT,55gn Full Metal Jacket - BT,$35.00 ,20,Target / Training,$1.75 
22-250,22-250 - 55 Boat Tail Hollow Point - (BTHP),55 Boat Tail Hollow Point - (BTHP),$35.00 ,20,Target / Training / Hunting,$1.75 
22-250,22-250 - 55gn Nosler Varmegeddon - Ballistic Tip,55gn Nosler Varmegeddon - Ballistic Tip,$35.00 ,20,Hunting,$1.75 
22-250,22-250 - 55gn Ballistic Silver Tip,55gn Ballistic Silver Tip,$35.00 ,20,Hunting,$1.75 
22-250,22-250 - 60gn V-Max,60gn V-Max,$35.00 ,20,Hunting,$1.75 
22-250,22-250 - 70gn Boat Tail Hollow Point Match - (BTHPM),70gn Boat Tail Hollow Point Match - (BTHPM),$35.00 ,20,Hunting,$1.75 
, - ,,,,,
, - ,,,,,
243 Winchester,243 Winchester - 87gn Interlock Soft Point,87gn Interlock Soft Point,$40.00 ,20,Hunting,$2.00 
243 Winchester,243 Winchester - 80gn GMX Solid (discontinued),80gn GMX Solid (discontinued),$40.00 ,20,Hunting,$2.00 
243 Winchester,243 Winchester - 88gn Berger - HP,88gn Berger - HP,$40.00 ,20,Hunting,$2.00 
243 Winchester,243 Winchester - 90gn Nosler Ballistic Tip,90gn Nosler Ballistic Tip,$40.00 ,20,Hunting,$2.00 
243 Winchester,243 Winchester - 100gn Interlock Soft Point Boat Tail - (SPBT),100gn Interlock Soft Point Boat Tail - (SPBT),$40.00 ,20,Hunting,$2.00 
243 Winchester,243 Winchester - 103gn ELD-X,103gn ELD-X,$40.00 ,20,Hunting,$2.00 
243 Winchester,243 Winchester - 108 ELD-X,108 ELD-X,$40.00 ,20,Hunting,$2.00 
, - ,,,,,
, - ,,,,,
6.5 Grendel,6.5 Grendel - 123gn ELD-X,123gn ELD-X,$40.00 ,20,Hunting,$2.00 
, - ,,,,,
, - ,,,,,
6.5 Creedmoor,6.5 Creedmoor - 123gn ELD-X,123gn ELD-X,$35.00 ,20,Hunting,$1.75 
6.5 Creedmoor,6.5 Creedmoor - 140gn Berger VLD,140gn Berger VLD,$45.00 ,20,Hunting / Target,$2.25 
6.5 Creedmoor,6.5 Creedmoor - 140gn Boat Tail Hollow Point - (BTHP),140gn Boat Tail Hollow Point - (BTHP),$40.00 ,20,Hunting ,$2.00 
6.5 Creedmoor,6.5 Creedmoor - 140gn ELD-X,140gn ELD-X,$40.00 ,20,Hunting,$2.00 
6.5 Creedmoor,6.5 Creedmoor - 147 ELD-X,147 ELD-X,$40.00 ,20,Hunting,$2.00 
, - ,,,,,
, - ,,,,,
6.5 PRC,6.5 PRC - 120gn Barnes TTSX -(tripple shock),120gn Barnes TTSX -(tripple shock),$50.00 ,20,Hunting,$2.50 
6.5 PRC,6.5 PRC - 140 Boat Tail Hollow Point Match - (BTHPM),140 Boat Tail Hollow Point Match - (BTHPM),$50.00 ,20,Hunting,$2.50 
6.5 PRC,6.5 PRC - 140gn Berger VLD,140gn Berger VLD,$55.00 ,20,Hunting,$2.75 
6.5 PRC,6.5 PRC - 147gn ELD-X,147gn ELD-X,$55.00 ,20,Hunting,$2.75 
, - ,,,,,
, - ,,,,,
25-06,25-06 - 117gn SST,117gn SST,$42.00 ,20,Hunting,$2.10 
25-06,25-06 - 120gn SST,120gn SST,$40.00 ,20,Hunting,$2.00 
, - ,,,,,
, - ,,,,,
270 Winchester,270 Winchester - 110gn V-Max,110gn V-Max,$22.50 ,20,Hunting,$1.13 
270 Winchester,270 Winchester - 130gn Interlock Pointed Soft Point,130gn Interlock Pointed Soft Point,$22.50 ,20,Hunting,$1.13 
270 Winchester,270 Winchester - 130gn SST,130gn SST,$25.00 ,20,Hunting,$1.25 
270 Winchester,270 Winchester - 130gn Power Point,130gn Power Point,$25.00 ,20,Hunting,$1.25 
270 Winchester,270 Winchester - 145gn ELD-X,145gn ELD-X,$40.00 ,20,Hunting,$2.00 
, - ,,,,,
, - ,,,,,
7mm Remington Magnum,7mm Remington Magnum - 130gn Soft Point,130gn Soft Point,$35.00 ,20,Hunting,$1.75 
7mm Remington Magnum,7mm Remington Magnum - 154gn SST,154gn SST,$50.00 ,20,Hunting,$2.50 
7mm Remington Magnum,7mm Remington Magnum - 162gn ELD-X,162gn ELD-X,$50.00 ,20,Hunting,$2.50 
, - ,,,,,
, - ,,,,,
300 Blackout,300 Blackout - 110gn V-Max,110gn V-Max,$35.00 ,20,Hunting,$1.75 
300 Blackout,300 Blackout - 155gn A-Max,155gn A-Max,$35.00 ,20,Hunting,$1.75 
300 Blackout,300 Blackout - 168gn Boat Tail Hollow Point - (BTHP),168gn Boat Tail Hollow Point - (BTHP),$35.00 ,20,Hunting,$1.75 
300 Blackout,300 Blackout - 195gn ELD-X ,195gn ELD-X ,$35.00 ,20,Hunting,$1.75 
, - ,,,,,
, - ,,,,,
30-30 Winchester,30-30 Winchester - 150gn Interlock - RN,150gn Interlock - RN,$25.00 ,20,Hunting,$1.25 
30-30 Winchester,30-30 Winchester - 160gn FTX,160gn FTX,$32.00 ,20,Hunting,$1.60 
30-30 Winchester,30-30 Winchester - 170gn Silver Tip - FN,170gn Silver Tip - FN,$25.00 ,20,Hunting,$1.25 
, - ,,,,,
, - ,,,,,
7.62 x 39mm,7.62 x 39mm - 110gn V-Max,110gn V-Max,$17.00 ,20,Hunting,$0.85 
7.62 x 39mm,7.62 x 39mm - 123gn Full Metal Jacket - (FMJ),123gn Full Metal Jacket - (FMJ),$15.00 ,20,Target / Training,$0.75 
7.62 x 39mm,7.62 x 39mm - 150gn Full Metal Jacket Boat Tail - (FMJBT),150gn Full Metal Jacket Boat Tail - (FMJBT),$16.00 ,20,Hunting /Training / Target,$0.80 
, - ,,,,,
, - ,,,,,
30-06,30-06 - 150gn Interlock Pointed Soft Point - (PSP),150gn Interlock Pointed Soft Point - (PSP),$35.00 ,20,Hunting,$1.75 
30-06,30-06 - 150gn SST,150gn SST,$35.00 ,20,Hunting,$1.75 
30-06,30-06 - 168gn Boat Tail Hollow Point - (BTHP),168gn Boat Tail Hollow Point - (BTHP),$40.00 ,20,Hunting,$2.00 
